TOTAL NON-UNDERLINED TRAINS (537 TRAINS):
================================================================================

001. Train 12301 | HOWRAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: HWH -> NDLS
252. Train 12184 | JHANSI - DELHI SAMPARK KRANTI | Category: JAN SHATABDI | Route: VGLJ -> ANVT
253. Train 12185 | JAIPUR - DELHI HUMSAFAR | Category: SAMPARK KRANTI | Route: JP -> DLI
254. Train 12186 | JODHPUR - PATNA GARIB RATH | Category: EXPRESS | Route: JU -> PNBE
255. Train 12187 | KOCHI - PATNA EXPRESS | Category: VANDE BHARAT | Route: CHTS -> PPTA
256. Train 12188 | THIRUVANANTHAPURAM - KOLKATA MAIL | Category: PREMIUM EXPRESS | Route: TVC -> HWH
257. Train 12189 | GOA - KOLKATA RAJDHANI | Category: SHATABDI | Route: MAO -> SDAH
258. Train 12190 | DELHI - MUMBAI SUPERFAST | Category: SUPERFAST | Route: NDLS -> MMCT
259. Train 12191 | JHELUM EXPRESS | Category: SUPERFAST | Route: PUNE -> JAT
260. Train 12192 | JHELUM EXPRESS | Category: SUPERFAST | Route: JAT -> PUNE
261. Train 12193 | PATNA - PUNE SPECIAL | Category: GARIB RATH | Route: PNBE -> PUNE
262. Train 12194 | PATNA - AHMEDABAD JAN SHATABDI | Category: HUMSAFAR | Route: PPTA -> ADI
263. Train 12195 | KOLKATA - CHENNAI SAMPARK KRANTI | Category: JAN SHATABDI | Route: HWH -> MAS
264. Train 12196 | KOLKATA - BENGALURU HUMSAFAR | Category: SAMPARK KRANTI | Route: SDAH -> SBC
265. Train 12197 | MUMBAI - HYDERABAD GARIB RATH | Category: EXPRESS | Route: MMCT -> HYB
266. Train 12198 | MUMBAI - SECUNDERABAD EXPRESS | Category: VANDE BHARAT | Route: CSMT -> SC
267. Train 12199 | MUMBAI - VARANASI MAIL | Category: PREMIUM EXPRESS | Route: BDTS -> BSB
268. Train 12200 | PUNE - LUCKNOW RAJDHANI | Category: SHATABDI | Route: PUNE -> LKO
269. Train 12201 | AHMEDABAD - KANPUR SUPERFAST | Category: SUPERFAST | Route: ADI -> CNB
270. Train 12202 | CHENNAI - PRAYAGRAJ SF EXPRESS | Category: DURONTO | Route: MAS -> PRYJ
271. Train 12203 | BENGALURU - MUGHALSARAI PASSENGER | Category: TEJAS | Route: SBC -> DDU
272. Train 12204 | HYDERABAD - KOTA SPECIAL | Category: GARIB RATH | Route: HYB -> KOTA
273. Train 12205 | SECUNDERABAD - RATLAM JAN SHATABDI | Category: HUMSAFAR | Route: SC -> RTM
274. Train 12206 | VARANASI - VADODARA SAMPARK KRANTI | Category: JAN SHATABDI | Route: BSB -> BRC
275. Train 12207 | LUCKNOW - SURAT HUMSAFAR | Category: SAMPARK KRANTI | Route: LKO -> ST
276. Train 12208 | KANPUR - BHOPAL GARIB RATH | Category: EXPRESS | Route: CNB -> BPL
277. Train 12209 | PRAYAGRAJ - NAGPUR EXPRESS | Category: VANDE BHARAT | Route: PRYJ -> NGP
278. Train 12210 | MUGHALSARAI - GUWAHATI MAIL | Category: PREMIUM EXPRESS | Route: DDU -> GHY
279. Train 12211 | KOTA - DIBRUGARH RAJDHANI | Category: SHATABDI | Route: KOTA -> DBRG
280. Train 12212 | RATLAM - PURI SUPERFAST | Category: SUPERFAST | Route: RTM -> PURI
281. Train 12213 | VADODARA - JAMSHEDPUR SF EXPRESS | Category: DURONTO | Route: BRC -> TATA
282. Train 12214 | SURAT - AGRA PASSENGER | Category: TEJAS | Route: ST -> AGC
283. Train 12215 | BHOPAL - JHANSI SPECIAL | Category: GARIB RATH | Route: BPL -> VGLJ
284. Train 12216 | NAGPUR - JAIPUR JAN SHATABDI | Category: HUMSAFAR | Route: NGP -> JP
285. Train 12217 | GUWAHATI - JODHPUR SAMPARK KRANTI | Category: JAN SHATABDI | Route: GHY -> JU
286. Train 12218 | DIBRUGARH - KOCHI HUMSAFAR | Category: SAMPARK KRANTI | Route: DBRG -> CHTS
287. Train 12219 | PURI - THIRUVANANTHAPURAM GARIB RATH | Category: EXPRESS | Route: PURI -> TVC
288. Train 12220 | JAMSHEDPUR - GOA EXPRESS | Category: VANDE BHARAT | Route: TATA -> MAO
289. Train 12221 | AGRA - DELHI MAIL | Category: PREMIUM EXPRESS | Route: AGC -> NDLS
290. Train 12222 | JHANSI - DELHI RAJDHANI | Category: SHATABDI | Route: VGLJ -> ANVT
291. Train 12223 | JAIPUR - DELHI SUPERFAST | Category: SUPERFAST | Route: JP -> DLI
292. Train 12224 | JODHPUR - PATNA SF EXPRESS | Category: DURONTO | Route: JU -> PNBE
293. Train 12225 | KOCHI - PATNA PASSENGER | Category: TEJAS | Route: CHTS -> PPTA
294. Train 12226 | THIRUVANANTHAPURAM - KOLKATA SPECIAL | Category: GARIB RATH | Route: TVC -> HWH
295. Train 12227 | GOA - KOLKATA JAN SHATABDI | Category: HUMSAFAR | Route: MAO -> SDAH
296. Train 12228 | DELHI - MUMBAI SAMPARK KRANTI | Category: JAN SHATABDI | Route: NDLS -> MMCT
297. Train 12229 | DELHI - MUMBAI HUMSAFAR | Category: SAMPARK KRANTI | Route: ANVT -> CSMT
298. Train 12230 | DELHI - MUMBAI GARIB RATH | Category: EXPRESS | Route: DLI -> BDTS
299. Train 12231 | PATNA - PUNE EXPRESS | Category: VANDE BHARAT | Route: PNBE -> PUNE
300. Train 12232 | PATNA - AHMEDABAD MAIL | Category: PREMIUM EXPRESS | Route: PPTA -> ADI
301. Train 12233 | KOLKATA - CHENNAI RAJDHANI | Category: SHATABDI | Route: HWH -> MAS
302. Train 12234 | KOLKATA - BENGALURU SUPERFAST | Category: SUPERFAST | Route: SDAH -> SBC
303. Train 12235 | MUMBAI - HYDERABAD SF EXPRESS | Category: DURONTO | Route: MMCT -> HYB
304. Train 12236 | MUMBAI - SECUNDERABAD PASSENGER | Category: TEJAS | Route: CSMT -> SC
305. Train 12237 | MUMBAI - VARANASI SPECIAL | Category: GARIB RATH | Route: BDTS -> BSB
306. Train 12238 | PUNE - LUCKNOW JAN SHATABDI | Category: HUMSAFAR | Route: PUNE -> LKO
307. Train 12239 | AHMEDABAD - KANPUR SAMPARK KRANTI | Category: JAN SHATABDI | Route: ADI -> CNB
308. Train 12240 | CHENNAI - PRAYAGRAJ HUMSAFAR | Category: SAMPARK KRANTI | Route: MAS -> PRYJ
309. Train 12241 | BENGALURU - MUGHALSARAI GARIB RATH | Category: EXPRESS | Route: SBC -> DDU
310. Train 12242 | HYDERABAD - KOTA EXPRESS | Category: VANDE BHARAT | Route: HYB -> KOTA
311. Train 12243 | SECUNDERABAD - RATLAM MAIL | Category: PREMIUM EXPRESS | Route: SC -> RTM
312. Train 12244 | VARANASI - VADODARA RAJDHANI | Category: SHATABDI | Route: BSB -> BRC
313. Train 12245 | LUCKNOW - SURAT SUPERFAST | Category: SUPERFAST | Route: LKO -> ST
314. Train 12246 | KANPUR - BHOPAL SF EXPRESS | Category: DURONTO | Route: CNB -> BPL
315. Train 12247 | PRAYAGRAJ - NAGPUR PASSENGER | Category: TEJAS | Route: PRYJ -> NGP
316. Train 12248 | MUGHALSARAI - GUWAHATI SPECIAL | Category: GARIB RATH | Route: DDU -> GHY
317. Train 12249 | KOTA - DIBRUGARH JAN SHATABDI | Category: HUMSAFAR | Route: KOTA -> DBRG
318. Train 12250 | RATLAM - PURI SAMPARK KRANTI | Category: JAN SHATABDI | Route: RTM -> PURI
319. Train 12251 | VADODARA - JAMSHEDPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: BRC -> TATA
320. Train 12252 | SURAT - AGRA GARIB RATH | Category: EXPRESS | Route: ST -> AGC
321. Train 12253 | BHOPAL - JHANSI EXPRESS | Category: VANDE BHARAT | Route: BPL -> VGLJ
322. Train 12254 | NAGPUR - JAIPUR MAIL | Category: PREMIUM EXPRESS | Route: NGP -> JP
323. Train 12255 | GUWAHATI - JODHPUR RAJDHANI | Category: SHATABDI | Route: GHY -> JU
324. Train 12256 | DIBRUGARH - KOCHI SUPERFAST | Category: SUPERFAST | Route: DBRG -> CHTS
325. Train 12257 | PURI - THIRUVANANTHAPURAM SF EXPRESS | Category: DURONTO | Route: PURI -> TVC
326. Train 12258 | JAMSHEDPUR - GOA PASSENGER | Category: TEJAS | Route: TATA -> MAO
327. Train 12259 | AGRA - DELHI SPECIAL | Category: GARIB RATH | Route: AGC -> NDLS
328. Train 12260 | JHANSI - DELHI JAN SHATABDI | Category: HUMSAFAR | Route: VGLJ -> ANVT
329. Train 12261 | JAIPUR - DELHI SAMPARK KRANTI | Category: JAN SHATABDI | Route: JP -> DLI
330. Train 12262 | JODHPUR - PATNA HUMSAFAR | Category: SAMPARK KRANTI | Route: JU -> PNBE
331. Train 12263 | KOCHI - PATNA GARIB RATH | Category: EXPRESS | Route: CHTS -> PPTA
332. Train 12264 | THIRUVANANTHAPURAM - KOLKATA EXPRESS | Category: VANDE BHARAT | Route: TVC -> HWH
333. Train 12265 | GOA - KOLKATA MAIL | Category: PREMIUM EXPRESS | Route: MAO -> SDAH
334. Train 12266 | DELHI - MUMBAI RAJDHANI | Category: SHATABDI | Route: NDLS -> MMCT
335. Train 12267 | DELHI - MUMBAI SUPERFAST | Category: SUPERFAST | Route: ANVT -> CSMT
336. Train 12268 | DELHI - MUMBAI SF EXPRESS | Category: DURONTO | Route: DLI -> BDTS
337. Train 12269 | PATNA - PUNE PASSENGER | Category: TEJAS | Route: PNBE -> PUNE
338. Train 12270 | PATNA - AHMEDABAD SPECIAL | Category: GARIB RATH | Route: PPTA -> ADI
339. Train 12271 | KOLKATA - CHENNAI JAN SHATABDI | Category: HUMSAFAR | Route: HWH -> MAS
340. Train 12272 | KOLKATA - BENGALURU SAMPARK KRANTI | Category: JAN SHATABDI | Route: SDAH -> SBC
341. Train 12275 | MUMBAI - VARANASI EXPRESS | Category: VANDE BHARAT | Route: BDTS -> BSB
342. Train 12276 | PUNE - LUCKNOW MAIL | Category: PREMIUM EXPRESS | Route: PUNE -> LKO
343. Train 12277 | AHMEDABAD - KANPUR RAJDHANI | Category: SHATABDI | Route: ADI -> CNB
344. Train 12278 | CHENNAI - PRAYAGRAJ SUPERFAST | Category: SUPERFAST | Route: MAS -> PRYJ
345. Train 12279 | BENGALURU - MUGHALSARAI SF EXPRESS | Category: DURONTO | Route: SBC -> DDU
346. Train 12280 | HYDERABAD - KOTA PASSENGER | Category: TEJAS | Route: HYB -> KOTA
347. Train 12281 | SECUNDERABAD - RATLAM SPECIAL | Category: GARIB RATH | Route: SC -> RTM
348. Train 12282 | VARANASI - VADODARA JAN SHATABDI | Category: HUMSAFAR | Route: BSB -> BRC
349. Train 12283 | LUCKNOW - SURAT SAMPARK KRANTI | Category: JAN SHATABDI | Route: LKO -> ST
350. Train 12284 | KANPUR - BHOPAL HUMSAFAR | Category: SAMPARK KRANTI | Route: CNB -> BPL
351. Train 12285 | PRAYAGRAJ - NAGPUR GARIB RATH | Category: EXPRESS | Route: PRYJ -> NGP
352. Train 12286 | MUGHALSARAI - GUWAHATI EXPRESS | Category: VANDE BHARAT | Route: DDU -> GHY
353. Train 12287 | KOTA - DIBRUGARH MAIL | Category: PREMIUM EXPRESS | Route: KOTA -> DBRG
354. Train 12288 | RATLAM - PURI RAJDHANI | Category: SHATABDI | Route: RTM -> PURI
355. Train 12289 | VADODARA - JAMSHEDPUR SUPERFAST | Category: SUPERFAST | Route: BRC -> TATA
356. Train 12290 | SURAT - AGRA SF EXPRESS | Category: DURONTO | Route: ST -> AGC
357. Train 12291 | BHOPAL - JHANSI PASSENGER | Category: TEJAS | Route: BPL -> VGLJ
358. Train 12292 | NAGPUR - JAIPUR SPECIAL | Category: GARIB RATH | Route: NGP -> JP
359. Train 12293 | GUWAHATI - JODHPUR JAN SHATABDI | Category: HUMSAFAR | Route: GHY -> JU
360. Train 12294 | DIBRUGARH - KOCHI SAMPARK KRANTI | Category: JAN SHATABDI | Route: DBRG -> CHTS
361. Train 12295 | PURI - THIRUVANANTHAPURAM HUMSAFAR | Category: SAMPARK KRANTI | Route: PURI -> TVC
362. Train 12296 | JAMSHEDPUR - GOA GARIB RATH | Category: EXPRESS | Route: TATA -> MAO
363. Train 12297 | AGRA - DELHI EXPRESS | Category: VANDE BHARAT | Route: AGC -> NDLS
364. Train 12298 | JHANSI - DELHI MAIL | Category: PREMIUM EXPRESS | Route: VGLJ -> ANVT
365. Train 12299 | JAIPUR - DELHI RAJDHANI | Category: SHATABDI | Route: JP -> DLI
366. Train 12300 | JODHPUR - PATNA SUPERFAST | Category: SUPERFAST | Route: JU -> PNBE
367. Train 12307 | PATNA - PUNE GARIB RATH | Category: EXPRESS | Route: PNBE -> PUNE
368. Train 12308 | PATNA - AHMEDABAD EXPRESS | Category: VANDE BHARAT | Route: PPTA -> ADI
369. Train 12311 | MUMBAI - HYDERABAD SUPERFAST | Category: SUPERFAST | Route: MMCT -> HYB
370. Train 12312 | MUMBAI - SECUNDERABAD SF EXPRESS | Category: DURONTO | Route: CSMT -> SC
371. Train 12315 | AHMEDABAD - KANPUR JAN SHATABDI | Category: HUMSAFAR | Route: ADI -> CNB
372. Train 12316 | CHENNAI - PRAYAGRAJ SAMPARK KRANTI | Category: JAN SHATABDI | Route: MAS -> PRYJ
373. Train 12317 | BENGALURU - MUGHALSARAI HUMSAFAR | Category: SAMPARK KRANTI | Route: SBC -> DDU
374. Train 12318 | HYDERABAD - KOTA GARIB RATH | Category: EXPRESS | Route: HYB -> KOTA
375. Train 12319 | SECUNDERABAD - RATLAM EXPRESS | Category: VANDE BHARAT | Route: SC -> RTM
376. Train 12320 | VARANASI - VADODARA MAIL | Category: PREMIUM EXPRESS | Route: BSB -> BRC
377. Train 12321 | LUCKNOW - SURAT RAJDHANI | Category: SHATABDI | Route: LKO -> ST
378. Train 12322 | KANPUR - BHOPAL SUPERFAST | Category: SUPERFAST | Route: CNB -> BPL
379. Train 12323 | PRAYAGRAJ - NAGPUR SF EXPRESS | Category: DURONTO | Route: PRYJ -> NGP
380. Train 12324 | MUGHALSARAI - GUWAHATI PASSENGER | Category: TEJAS | Route: DDU -> GHY
381. Train 12325 | KOTA - DIBRUGARH SPECIAL | Category: GARIB RATH | Route: KOTA -> DBRG
382. Train 12326 | RATLAM - PURI JAN SHATABDI | Category: HUMSAFAR | Route: RTM -> PURI
383. Train 12327 | VADODARA - JAMSHEDPUR SAMPARK KRANTI | Category: JAN SHATABDI | Route: BRC -> TATA
384. Train 12328 | SURAT - AGRA HUMSAFAR | Category: SAMPARK KRANTI | Route: ST -> AGC
385. Train 12329 | BHOPAL - JHANSI GARIB RATH | Category: EXPRESS | Route: BPL -> VGLJ
386. Train 12330 | NAGPUR - JAIPUR EXPRESS | Category: VANDE BHARAT | Route: NGP -> JP
387. Train 12331 | GUWAHATI - JODHPUR MAIL | Category: PREMIUM EXPRESS | Route: GHY -> JU
388. Train 12332 | DIBRUGARH - KOCHI RAJDHANI | Category: SHATABDI | Route: DBRG -> CHTS
389. Train 12333 | PURI - THIRUVANANTHAPURAM SUPERFAST | Category: SUPERFAST | Route: PURI -> TVC
390. Train 12334 | JAMSHEDPUR - GOA SF EXPRESS | Category: DURONTO | Route: TATA -> MAO
391. Train 12335 | AGRA - DELHI PASSENGER | Category: TEJAS | Route: AGC -> NDLS
392. Train 12336 | JHANSI - DELHI SPECIAL | Category: GARIB RATH | Route: VGLJ -> ANVT
393. Train 12337 | JAIPUR - DELHI JAN SHATABDI | Category: HUMSAFAR | Route: JP -> DLI
394. Train 12338 | JODHPUR - PATNA SAMPARK KRANTI | Category: JAN SHATABDI | Route: JU -> PNBE
395. Train 12339 | KOCHI - PATNA HUMSAFAR | Category: SAMPARK KRANTI | Route: CHTS -> PPTA
396. Train 12340 | THIRUVANANTHAPURAM - KOLKATA GARIB RATH | Category: EXPRESS | Route: TVC -> HWH
397. Train 12341 | GOA - KOLKATA EXPRESS | Category: VANDE BHARAT | Route: MAO -> SDAH
398. Train 12342 | DELHI - MUMBAI MAIL | Category: PREMIUM EXPRESS | Route: NDLS -> MMCT
399. Train 12343 | DELHI - MUMBAI RAJDHANI | Category: SHATABDI | Route: ANVT -> CSMT
400. Train 12344 | DELHI - MUMBAI SUPERFAST | Category: SUPERFAST | Route: DLI -> BDTS
401. Train 12345 | PATNA - PUNE SF EXPRESS | Category: DURONTO | Route: PNBE -> PUNE
402. Train 12346 | PATNA - AHMEDABAD PASSENGER | Category: TEJAS | Route: PPTA -> ADI
403. Train 12347 | KOLKATA - CHENNAI SPECIAL | Category: GARIB RATH | Route: HWH -> MAS
404. Train 12348 | KOLKATA - BENGALURU JAN SHATABDI | Category: HUMSAFAR | Route: SDAH -> SBC
405. Train 12349 | MUMBAI - HYDERABAD SAMPARK KRANTI | Category: JAN SHATABDI | Route: MMCT -> HYB
406. Train 12350 | MUMBAI - SECUNDERABAD HUMSAFAR | Category: SAMPARK KRANTI | Route: CSMT -> SC
407. Train 12351 | MUMBAI - VARANASI GARIB RATH | Category: EXPRESS | Route: BDTS -> BSB
408. Train 12352 | PUNE - LUCKNOW EXPRESS | Category: VANDE BHARAT | Route: PUNE -> LKO
409. Train 12353 | AHMEDABAD - KANPUR MAIL | Category: PREMIUM EXPRESS | Route: ADI -> CNB
410. Train 12354 | CHENNAI - PRAYAGRAJ RAJDHANI | Category: SHATABDI | Route: MAS -> PRYJ
411. Train 12355 | BENGALURU - MUGHALSARAI SUPERFAST | Category: SUPERFAST | Route: SBC -> DDU
412. Train 12356 | HYDERABAD - KOTA SF EXPRESS | Category: DURONTO | Route: HYB -> KOTA
413. Train 12357 | SECUNDERABAD - RATLAM PASSENGER | Category: TEJAS | Route: SC -> RTM
414. Train 12358 | VARANASI - VADODARA SPECIAL | Category: GARIB RATH | Route: BSB -> BRC
415. Train 12359 | LUCKNOW - SURAT JAN SHATABDI | Category: HUMSAFAR | Route: LKO -> ST
416. Train 12360 | KANPUR - BHOPAL SAMPARK KRANTI | Category: JAN SHATABDI | Route: CNB -> BPL
417. Train 12361 | PRAYAGRAJ - NAGPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: PRYJ -> NGP
418. Train 12362 | MUGHALSARAI - GUWAHATI GARIB RATH | Category: EXPRESS | Route: DDU -> GHY
419. Train 12363 | KOTA - DIBRUGARH EXPRESS | Category: VANDE BHARAT | Route: KOTA -> DBRG
420. Train 12364 | RATLAM - PURI MAIL | Category: PREMIUM EXPRESS | Route: RTM -> PURI
421. Train 12369 | GUWAHATI - JODHPUR SPECIAL | Category: GARIB RATH | Route: GHY -> JU
422. Train 12370 | DIBRUGARH - KOCHI JAN SHATABDI | Category: HUMSAFAR | Route: DBRG -> CHTS
423. Train 12371 | PURI - THIRUVANANTHAPURAM SAMPARK KRANTI | Category: JAN SHATABDI | Route: PURI -> TVC
424. Train 12372 | JAMSHEDPUR - GOA HUMSAFAR | Category: SAMPARK KRANTI | Route: TATA -> MAO
425. Train 12373 | AGRA - DELHI GARIB RATH | Category: EXPRESS | Route: AGC -> NDLS
426. Train 12374 | JHANSI - DELHI EXPRESS | Category: VANDE BHARAT | Route: VGLJ -> ANVT
427. Train 12375 | JAIPUR - DELHI MAIL | Category: PREMIUM EXPRESS | Route: JP -> DLI
428. Train 12376 | JODHPUR - PATNA RAJDHANI | Category: SHATABDI | Route: JU -> PNBE
429. Train 12377 | KOCHI - PATNA SUPERFAST | Category: SUPERFAST | Route: CHTS -> PPTA
430. Train 12378 | THIRUVANANTHAPURAM - KOLKATA SF EXPRESS | Category: DURONTO | Route: TVC -> HWH
431. Train 12379 | GOA - KOLKATA PASSENGER | Category: TEJAS | Route: MAO -> SDAH
432. Train 12380 | DELHI - MUMBAI SPECIAL | Category: GARIB RATH | Route: NDLS -> MMCT
433. Train 12381 | DELHI - MUMBAI JAN SHATABDI | Category: HUMSAFAR | Route: ANVT -> CSMT
434. Train 12382 | DELHI - MUMBAI SAMPARK KRANTI | Category: JAN SHATABDI | Route: DLI -> BDTS
435. Train 12383 | PATNA - PUNE HUMSAFAR | Category: SAMPARK KRANTI | Route: PNBE -> PUNE
436. Train 12384 | PATNA - AHMEDABAD GARIB RATH | Category: EXPRESS | Route: PPTA -> ADI
437. Train 12385 | KOLKATA - CHENNAI EXPRESS | Category: VANDE BHARAT | Route: HWH -> MAS
438. Train 12386 | KOLKATA - BENGALURU MAIL | Category: PREMIUM EXPRESS | Route: SDAH -> SBC
439. Train 12387 | MUMBAI - HYDERABAD RAJDHANI | Category: SHATABDI | Route: MMCT -> HYB
440. Train 12388 | MUMBAI - SECUNDERABAD SUPERFAST | Category: SUPERFAST | Route: CSMT -> SC
441. Train 12389 | MUMBAI - VARANASI SF EXPRESS | Category: DURONTO | Route: BDTS -> BSB
442. Train 12390 | PUNE - LUCKNOW PASSENGER | Category: TEJAS | Route: PUNE -> LKO
443. Train 12395 | SECUNDERABAD - RATLAM GARIB RATH | Category: EXPRESS | Route: SC -> RTM
444. Train 12396 | VARANASI - VADODARA EXPRESS | Category: VANDE BHARAT | Route: BSB -> BRC
445. Train 12397 | LUCKNOW - SURAT MAIL | Category: PREMIUM EXPRESS | Route: LKO -> ST
446. Train 12398 | KANPUR - BHOPAL RAJDHANI | Category: SHATABDI | Route: CNB -> BPL
447. Train 12399 | PRAYAGRAJ - NAGPUR SUPERFAST | Category: SUPERFAST | Route: PRYJ -> NGP
448. Train 12400 | MUGHALSARAI - GUWAHATI SF EXPRESS | Category: DURONTO | Route: DDU -> GHY
449. Train 12401 | KOTA - DIBRUGARH PASSENGER | Category: TEJAS | Route: KOTA -> DBRG
450. Train 12402 | RATLAM - PURI SPECIAL | Category: GARIB RATH | Route: RTM -> PURI
451. Train 12403 | VADODARA - JAMSHEDPUR JAN SHATABDI | Category: HUMSAFAR | Route: BRC -> TATA
452. Train 12404 | SURAT - AGRA SAMPARK KRANTI | Category: JAN SHATABDI | Route: ST -> AGC
453. Train 12405 | BHOPAL - JHANSI HUMSAFAR | Category: SAMPARK KRANTI | Route: BPL -> VGLJ
454. Train 12406 | NAGPUR - JAIPUR GARIB RATH | Category: EXPRESS | Route: NGP -> JP
455. Train 12407 | GUWAHATI - JODHPUR EXPRESS | Category: VANDE BHARAT | Route: GHY -> JU
456. Train 12408 | DIBRUGARH - KOCHI MAIL | Category: PREMIUM EXPRESS | Route: DBRG -> CHTS
457. Train 12409 | PURI - THIRUVANANTHAPURAM RAJDHANI | Category: SHATABDI | Route: PURI -> TVC
458. Train 12410 | JAMSHEDPUR - GOA SUPERFAST | Category: SUPERFAST | Route: TATA -> MAO
459. Train 12411 | AGRA - DELHI SF EXPRESS | Category: DURONTO | Route: AGC -> NDLS
460. Train 12412 | JHANSI - DELHI PASSENGER | Category: TEJAS | Route: VGLJ -> ANVT
461. Train 12413 | JAIPUR - DELHI SPECIAL | Category: GARIB RATH | Route: JP -> DLI
462. Train 12414 | JODHPUR - PATNA JAN SHATABDI | Category: HUMSAFAR | Route: JU -> PNBE
463. Train 12415 | KOCHI - PATNA SAMPARK KRANTI | Category: JAN SHATABDI | Route: CHTS -> PPTA
464. Train 12416 | THIRUVANANTHAPURAM - KOLKATA HUMSAFAR | Category: SAMPARK KRANTI | Route: TVC -> HWH
465. Train 12417 | GOA - KOLKATA GARIB RATH | Category: EXPRESS | Route: MAO -> SDAH
466. Train 12418 | DELHI - MUMBAI EXPRESS | Category: VANDE BHARAT | Route: NDLS -> MMCT
467. Train 12419 | DELHI - MUMBAI MAIL | Category: PREMIUM EXPRESS | Route: ANVT -> CSMT
468. Train 12420 | DELHI - MUMBAI RAJDHANI | Category: SHATABDI | Route: DLI -> BDTS
469. Train 12421 | PATNA - PUNE SUPERFAST | Category: SUPERFAST | Route: PNBE -> PUNE
470. Train 12422 | PATNA - AHMEDABAD SF EXPRESS | Category: DURONTO | Route: PPTA -> ADI
471. Train 12427 | MUMBAI - VARANASI HUMSAFAR | Category: SAMPARK KRANTI | Route: BDTS -> BSB
472. Train 12428 | PUNE - LUCKNOW GARIB RATH | Category: EXPRESS | Route: PUNE -> LKO
473. Train 12429 | AHMEDABAD - KANPUR EXPRESS | Category: VANDE BHARAT | Route: ADI -> CNB
474. Train 12430 | CHENNAI - PRAYAGRAJ MAIL | Category: PREMIUM EXPRESS | Route: MAS -> PRYJ
475. Train 12435 | LUCKNOW - SURAT SPECIAL | Category: GARIB RATH | Route: LKO -> ST
476. Train 12436 | KANPUR - BHOPAL JAN SHATABDI | Category: HUMSAFAR | Route: CNB -> BPL
477. Train 12439 | KOTA - DIBRUGARH GARIB RATH | Category: EXPRESS | Route: KOTA -> DBRG
478. Train 12440 | RATLAM - PURI EXPRESS | Category: VANDE BHARAT | Route: RTM -> PURI
479. Train 12441 | VADODARA - JAMSHEDPUR MAIL | Category: PREMIUM EXPRESS | Route: BRC -> TATA
480. Train 12442 | SURAT - AGRA RAJDHANI | Category: SHATABDI | Route: ST -> AGC
481. Train 12443 | BHOPAL - JHANSI SUPERFAST | Category: SUPERFAST | Route: BPL -> VGLJ
482. Train 12444 | NAGPUR - JAIPUR SF EXPRESS | Category: DURONTO | Route: NGP -> JP
483. Train 12445 | GUWAHATI - JODHPUR PASSENGER | Category: TEJAS | Route: GHY -> JU
484. Train 12446 | DIBRUGARH - KOCHI SPECIAL | Category: GARIB RATH | Route: DBRG -> CHTS
485. Train 12447 | PURI - THIRUVANANTHAPURAM JAN SHATABDI | Category: HUMSAFAR | Route: PURI -> TVC
486. Train 12448 | JAMSHEDPUR - GOA SAMPARK KRANTI | Category: JAN SHATABDI | Route: TATA -> MAO
487. Train 12449 | AGRA - DELHI HUMSAFAR | Category: SAMPARK KRANTI | Route: AGC -> NDLS
488. Train 12450 | JHANSI - DELHI GARIB RATH | Category: EXPRESS | Route: VGLJ -> ANVT
489. Train 12451 | JAIPUR - DELHI EXPRESS | Category: VANDE BHARAT | Route: JP -> DLI
490. Train 12452 | JODHPUR - PATNA MAIL | Category: PREMIUM EXPRESS | Route: JU -> PNBE
491. Train 12453 | KOCHI - PATNA RAJDHANI | Category: SHATABDI | Route: CHTS -> PPTA
492. Train 12454 | THIRUVANANTHAPURAM - KOLKATA SUPERFAST | Category: SUPERFAST | Route: TVC -> HWH
493. Train 12455 | GOA - KOLKATA SF EXPRESS | Category: DURONTO | Route: MAO -> SDAH
494. Train 12456 | DELHI - MUMBAI PASSENGER | Category: TEJAS | Route: NDLS -> MMCT
495. Train 12457 | DELHI - MUMBAI SPECIAL | Category: GARIB RATH | Route: ANVT -> CSMT
496. Train 12458 | DELHI - MUMBAI JAN SHATABDI | Category: HUMSAFAR | Route: DLI -> BDTS
497. Train 12459 | PATNA - PUNE SAMPARK KRANTI | Category: JAN SHATABDI | Route: PNBE -> PUNE
498. Train 12460 | PATNA - AHMEDABAD HUMSAFAR | Category: SAMPARK KRANTI | Route: PPTA -> ADI
499. Train 12461 | KOLKATA - CHENNAI GARIB RATH | Category: EXPRESS | Route: HWH -> MAS
500. Train 12462 | KOLKATA - BENGALURU EXPRESS | Category: VANDE BHARAT | Route: SDAH -> SBC
501. Train 12463 | MUMBAI - HYDERABAD MAIL | Category: PREMIUM EXPRESS | Route: MMCT -> HYB
502. Train 12464 | MUMBAI - SECUNDERABAD RAJDHANI | Category: SHATABDI | Route: CSMT -> SC
503. Train 12465 | MUMBAI - VARANASI SUPERFAST | Category: SUPERFAST | Route: BDTS -> BSB
504. Train 12466 | PUNE - LUCKNOW SF EXPRESS | Category: DURONTO | Route: PUNE -> LKO
505. Train 12467 | AHMEDABAD - KANPUR PASSENGER | Category: TEJAS | Route: ADI -> CNB
506. Train 12468 | CHENNAI - PRAYAGRAJ SPECIAL | Category: GARIB RATH | Route: MAS -> PRYJ
